# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
48.0000,0.0652,0.0587,76.5079,107.4200
48.2000,0.0650,0.0585,76.5063,107.4178
48.4000,0.0648,0.0584,76.5048,107.4157
48.6000,0.0647,0.0582,76.5033,107.4135
48.8000,0.0645,0.0581,76.5017,107.4113
49.0000,0.0644,0.0580,76.5002,107.4092
49.2000,0.0642,0.0578,76.4986,107.4070
49.4000,0.0641,0.0577,76.4971,107.4049
49.6000,0.0639,0.0575,76.4956,107.4027
49.8000,0.0638,0.0574,76.4940,107.4005
50.0000,0.0636,0.0573,76.4925,107.3984
50.2000,0.0635,0.0571,76.4909,107.3962
50.4000,0.0633,0.0570,76.4894,107.3940
50.6000,0.0632,0.0569,76.4878,107.3919
50.8000,0.0630,0.0568,76.4863,107.3897
51.0000,0.0629,0.0566,76.4848,107.3875
51.2000,0.0627,0.0565,76.4832,107.3854
51.4000,0.0626,0.0564,76.4817,107.3832
51.6000,0.0625,0.0563,76.4801,107.3811
51.8000,0.0623,0.0561,76.4786,107.3789
52.0000,0.0622,0.0560,76.4771,107.3767
52.2000,0.0621,0.0559,76.4755,107.3746
52.4000,0.0619,0.0558,76.4740,107.3724
52.6000,0.0618,0.0557,76.4724,107.3702
52.8000,0.0617,0.0556,76.4709,107.3681
53.0000,0.0615,0.0554,76.4694,107.3659
53.2000,0.0614,0.0553,76.4678,107.3637
53.4000,0.0613,0.0552,76.4663,107.3616
53.6000,0.0612,0.0551,76.4647,107.3594
53.8000,0.0610,0.0550,76.4632,107.3573
54.0000,0.0609,0.0549,76.4616,107.3551
54.2000,0.0608,0.0548,76.4601,107.3529
54.4000,0.0607,0.0547,76.4586,107.3508
54.6000,0.0605,0.0545,76.4570,107.3486
54.8000,0.0604,0.0544,76.4555,107.3464
55.0000,0.0603,0.0543,76.4539,107.3443
55.2000,0.0602,0.0542,76.4524,107.3421
55.4000,0.0601,0.0541,76.4509,107.3400
55.6000,0.0600,0.0540,76.4493,107.3378
55.8000,0.0598,0.0539,76.4478,107.3356
56.0000,0.0597,0.0538,76.4462,107.3335
56.2000,0.0596,0.0537,76.4447,107.3313
56.4000,0.0595,0.0536,76.4432,107.3291
56.6000,0.0594,0.0535,76.4416,107.3270
56.8000,0.0593,0.0534,76.4401,107.3248
57.0000,0.0592,0.0533,76.4385,107.3227
57.2000,0.0591,0.0532,76.4370,107.3205
57.4000,0.0590,0.0531,76.4355,107.3183
57.6000,0.0588,0.0530,76.4339,107.3162
57.8000,0.0587,0.0529,76.4324,107.3140
58.0000,0.0586,0.0528,76.4308,107.3119
58.2000,0.0585,0.0527,76.4293,107.3097
58.4000,0.0584,0.0526,76.4278,107.3075
58.6000,0.0583,0.0526,76.4262,107.3054
58.8000,0.0582,0.0525,76.4247,107.3032
59.0000,0.0581,0.0524,76.4231,107.3010
59.2000,0.0580,0.0523,76.4216,107.2989
59.4000,0.0579,0.0522,76.4201,107.2967
59.6000,0.0578,0.0521,76.4185,107.2946
59.8000,0.0577,0.0520,76.4170,107.2924
60.0000,0.0576,0.0519,76.4155,107.2902
60.2000,0.0575,0.0518,76.4139,107.2881
60.4000,0.0574,0.0517,76.4124,107.2859
60.6000,0.0573,0.0517,76.4108,107.2838
60.8000,0.0572,0.0516,76.4093,107.2816
61.0000,0.0571,0.0515,76.4078,107.2794
61.2000,0.0570,0.0514,76.4062,107.2773
61.4000,0.0569,0.0513,76.4047,107.2751
61.6000,0.0569,0.0512,76.4031,107.2730
61.8000,0.0568,0.0512,76.4016,107.2708
